"created","favoriteCount","favorited","id","isRetweet","latitude","longitude","replyToSID","replyToSN","replyToUID","retweetCount","retweeted","screenName","statusSource","text","truncated"
"2017-11-09",0,FALSE,"928683377263132672",FALSE,NA,NA,"928568444009693184","OfficeOfRG","3171712086",0,FALSE,"SONU1517","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@OfficeOfRG <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+0947> <U+0938><U+092E><U+092F> <U+0916><U+092C><U+0930> <U+092F><U+0939><U+0940> <U+091A><U+0932> <U+0930><U+0939><U+0940> <U+0925><U+0940> <U+0915><U+0947> <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947>  <U+0915><U+0930><U+094B><U+0921><U+093C><U+094B> <U+0930><U+0942><U+092A><U+092F><U+0947> <U+0915><U+0940> <U+091C><U+092E><U+0940><U+0928> <U+0916><U+0930><U+0940><U+0926><U+0940> <U+0925><U+0940><U+0964> <U+0915><U+094D><U+092F><U+093E> <U+092F><U+0947> <U+0915><U+0932><U+093E> <U+0927><U+0928> <U+0925><U+093E> <U+0915><U+094D><U+092F><U+093E>? 
D… https://t.co/glJ5Lu1y4l",TRUE
"2017-11-09",0,FALSE,"928683281180004352",FALSE,NA,NA,NA,NA,NA,0,FALSE,"pkubth","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","<U+0928><U+0930><U+0947><U+0902><U+0926><U+094D><U+0930> <U+092E><U+094B><U+0926><U+0940> <U+091C><U+0940>, <U+0915><U+094D><U+200D><U+092F><U+093E> <U+0906><U+092A> <U+0928><U+094B><U+091F><U+092C><U+0902><U+0926><U+0940> <U+0915><U+0947> <U+0932><U+093F><U+090F> <U+0926><U+0947><U+0936> <U+0938><U+0947> <U+092E><U+093E><U+092B><U+0940> <U+092E><U+093E><U+0902><U+0917><U+0928><U+0947> <U+0915><U+094B> <U+0924><U+0948><U+092F><U+093E><U+0930> <U+0939><U+0948><U+0902>? : <U+092A><U+094D><U+0930><U+0915><U+093E><U+0936> <U+0930><U+093E><U+091C> https://t.co/5rKhwAJjgk",FALSE
"2017-11-09",0,FALSE,"928682756497739776",TRUE,NA,NA,NA,NA,NA,8,FALSE,"JantaKaSuporter","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @NeetuGarg6: 81% people supported note ban, says Narendra Modi  https://t.co/huoPk8IisJ",FALSE
"2017-11-09",0,FALSE,"928682296021884928",TRUE,NA,NA,NA,NA,NA,12,FALSE,"gulfkannadiga","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @TheQuint: #KemChoGujarat: Rameshbhai Sukhadia complains that GST and note ban have badly hit a small trader like him. https://t.co/mxjV…",FALSE
"2017-11-09",0,FALSE,"928681898490044416",TRUE,NA,NA,NA,NA,NA,22,FALSE,"ahirya","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","RT @SwarajyaMag: While Rahul Gandhi's paranoia is understandable, his handlers need to realise that it increasingly difficult to mislead th…",FALSE
"2017-11-09",0,FALSE,"928681826452951040",FALSE,NA,NA,"928307270567583744","seemaadhikari","113444722",0,FALSE,"MansiTandon7","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@seemaadhikari And the chatukaars of Khangress were slapped by the fake photo  from none other than the crack pot… https://t.co/CMx5Hmro8N",TRUE
"2017-11-09",0,FALSE,"928681625646383104",FALSE,NA,NA,NA,NA,NA,0,FALSE,"27saurabhsinha","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1,492kg gold, Rs 87 crore in cash detected in hand bags at airports since note ban https://t.co/NWw6OZqRMY via @timesofindia",FALSE
"2017-11-09",0,FALSE,"928681472717881344",TRUE,NA,NA,NA,NA,NA,1,FALSE,"vishal3576","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @ETFinance: Here's why MF advisors are worried about your note ban #investment https://t.co/thyhgHbuFG",FALSE
"2017-11-09",0,FALSE,"928681099861016576",FALSE,NA,NA,NA,NA,NA,0,FALSE,"Abusiddiq28","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","my question on note ban 
y is supereme court light on this matter?
 who is responsible fr death of 150 people the 1… https://t.co/sooyyV30eg",TRUE
"2017-11-09",0,FALSE,"928680822265098240",FALSE,NA,NA,NA,NA,NA,0,FALSE,"ArvindPasi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","https://t.co/52R5woOgxp",FALSE
